survey.pages,neighborhood,meeting.location,work.needed,district,location,coordinates,budget.project,project.description,project.category,equity,workforce.entrepr,children.families,crit.infrastructure,crit.communities,grn.infrastructure,mobility,climate,arts.culture,housing,additional.priorities,budget.project.2,issue.understanding,consider.pov,voice.heard,share.stories,neighbor.engagement,future.attendance,other.issues,budget.project.3,addtl.feedback,budget.project.4
1-4,POLISH HILL,NORTH SIDE,SIDEWALK REPAIR,7,BRERETON & 30TH,"40.456589, -79.970152",RAMP AND PUBLIC SIDEWALK,SIDEWALK REPAIR,RAMP AND PUBLIC SIDEWALK,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,FOOD ACCESS,,SOMEWHAT,NOT AT ALL,A LITTLE,VERY,SOMEWHAT,PROBABLY YES,FOOD INSECURITY,,MORE MICROPHONES NEXT TIME,
1-4,POLISH HILL,NORTH SIDE,REC CENTER REPAIRS,7,WEST PENN,"40.455601, -79.969465",FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS ,STAIR REPAIR OR INCREASED MOBILIITY,STEP REPAIR AND REPLACEMENT,,,,,,,,,,,,,,,,,,,TRASH,,,
1-4,POLISH HILL,NORTH SIDE,CITY STEPS FIXED,CITY-WIDE,ALL,,STEP REPAIR AND REPLACEMENT,,,,,,,,,,,,,,,,,,,,,,,,
5-8,POLISH HILL,NORTH SIDE,WEST PENN REMODEL (REC CENTER,7,WEST PENN,"40.455601, -79.969465",FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS ,REC CENTERS,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS ,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,COMMUNITY DEV. & EMPOWERMENT,ACCBO,SOMEWHAT,VERY,A LITTLE,SOMEWHAT,VERY,PROBABLY YES,OPIOIDS,,LIMIT PANELIST SPEAKING TIME,
5-8,POLISH HILL,NORTH SIDE,STEPS REPAIRED,7,HANCOCK ST,"40.456504, -79.964790",STEP REPAIR AND REPLACEMENT,"CITY STEPS, REPAIR OR REPLACE",STEP REPAIR AND REPLACEMENT,,,,,,,,,,,,,,,,,,,ECONOMIC DEVELOPMENT,ECONOMIC DEVELOPMENT AND HOUSING ,,
5-8,POLISH HILL,NORTH SIDE,,,,,,,,,,,,,,,,,,,,,,,,,,TRASH & POLLUTION,,,
9-12,BRIGHTON HEIGHTS,NORTH SIDE,PUBLIC WORKS PROJECTS TO SAFELY REDIRECT WATER RUNOFF; MORE AGGRESSIVE (LEAD) WATER LINE REPLACEMENT,1,BRIGHTON HEIGHTS,"40.484170, -80.036205",PARK RECONSTRUCTION,INFASTRUCTURE - INCORPORATE WITH GREEN INFRASTRUCTURE PROJECTS AND LEVERAGING AS WORKFORCE DEVELOPMENT OPPORTUNITY/LOCAL HIRIING OPPORTUNITY,PARK RECONSTRUCTION,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,COULD MORE DEPARTMENT PLANNING AND PROCUREMENT COORDINATION BE DONE TO LEVERAGE LOCAL SOURCING AND ETHICAL SOURCING OPPORTUNITIES,,SOMEWHAT,VERY,VERY,SOMEWHAT,SOMEWHAT,DEFINITELY YES,"FORUMS ON STRATEGIES FOR LEVERAGING MORE RESOURCES FOR CITY FROM NONPROFIT INSTITUTIONS.  COULDN'T WE, SHOULDN’T WE PASS AND IMPLEMENT A PAYMENT IN LIEU OF TAXES FROM THE BIG, PROFITABLE NONPROFITS?",,,
9-12,BRIGHTON HEIGHTS,NORTH SIDE,PEDESTRIAN BRIDGE AT DAVIS AVE IN BRIGHTON HEIGHTS THAT IMPROVES ACCESS TO RIVERVIEW PARK,1,DAVIS AVE,"40.481726, -80.026612",BRIDGE UPGRADES,LONGER OPERATING HOURS AT MORE COMMUNITY CENTERS/SENIOR CENTERS.  THESE ARE IMPORTANT PLAY SPACES AND PROGRAMMING SPACES.,SENIOR COMMUNITY PROGRAM,,,,,,,,,,,,,,,,,,,,,,
9-12,BRIGHTON HEIGHTS,NORTH SIDE,IMPROVE OPERATION HOURS AT COMMUNITY CENTERS AND HEALTHY LIVING CENTERS - AT BIRGHT HTS HEALTHY LIVING CENTER,CITY-WIDE,CITY-WIDE,,SENIOR COMMUNITY PROGRAM ,"CHILDREN AND FAMILIES - PARTNER WITH SCHOOL DISTRICT FOR UNIVERSAL PRE-K.  THIS IS THE SCHOOL DISTRICT'S RESPONSIBILITY/OPPORTUNITY, BUT CITY WILL BENEFIT.",,,,,,,,,,,,,,,,,,,,,,,
9-12,BRIGHTON HEIGHTS,NORTH SIDE,IMPROVE TENNIS COURTS AND BALLFIELDS IN OUR PARKS.  ADD SOME LIGHTS FOR EVENING PLAY,1,NORTH SIDE - RIVERVIEW,"40.482320, -80.022459",FACILITY IMPROVEMENTS - SPORT FACILITIES,HOUSING - NEW HOUSING THAT IS PUBLICALLY SUBSIDIZED SHOULD BE MAJORITY AFFORDABLE/SUBSIDIZED NOT MAJORITY MARKET RATE.  IMPORTANT PARTS OF OUR COMMUNITIES - OUR FAMILIES AND SENIORS - ARE BEING PUSHED OUT OF THEIR NEIGHBORHOODS,ECONOMIC DEVELOPMENT AND HOUSING,,,,,,,,,,,,,,,,,,,,,,
